,precision,recall,f1-score,support
SEC-Subtype_IVa,0.8848484848484849,0.73,0.8,200.0
SEC-Subtype_IVa2,0.8081632653061225,0.99,0.8898876404494381,200.0
SEC-Subtype_IVc,0.6958041958041958,0.995,0.8189300411522633,200.0
SEC-Subtype_IVd,0.8711656441717791,0.71,0.7823691460055097,200.0
SEC-Subtype_Ia,0.9342723004694836,0.995,0.963680387409201,200.0
SEC-Subtype_Va,0.9921875,0.635,0.7743902439024389,200.0
accuracy,0.8425,0.8425,0.8425,0.8425
macro avg,0.8644068984333443,0.8424999999999999,0.8382095764864751,1200.0
weighted avg,0.8644068984333444,0.8425,0.8382095764864752,1200.0
