,precision,recall,f1-score,support
SEC-Subtype_IVa,0.8848484848484849,0.73,0.8,200.0
SEC-Subtype_IVa2,0.8418803418803419,0.985,0.9078341013824884,200.0
SEC-Subtype_IVc,0.7741935483870968,0.96,0.8571428571428571,200.0
SEC-Subtype_IVd,0.7965116279069767,0.685,0.7365591397849461,200.0
SEC-Subtype_Ia,0.9800995024875622,0.985,0.9825436408977556,200.0
SEC-Subtype_Va,0.8777777777777778,0.79,0.831578947368421,200.0
accuracy,0.8558333333333333,0.8558333333333333,0.8558333333333333,0.8558333333333333
macro avg,0.8592185472147067,0.8558333333333333,0.8526097810960781,1200.0
weighted avg,0.8592185472147067,0.8558333333333333,0.852609781096078,1200.0
